al-istihlāl,G F E,E F G,F A G,C B A G,A B C,F E D C,,,,,
`IRAQ AL-`ARAB,E D C,E F G,C D E,G F E,F# G A,F G A,G F G,F A G,,,
al-māya,B- A G,E F G,B D C,C B A G,A G F E,G A B C,F G E F E D C,,,,
AL-HOUSSAYN,F A G,E F G,C B A G,G A F,A G F,D E F,F G A,B C A,B G A,F E D,F# G A
raml al-māya,B- A G,E F G,F A G,B- A G,F E D C ,F E D,F D E C D,F G A,C B A G,B A G,B- A G F
AL-ISBAHAN,C B A G,E F G,G F E,F E D C,F E D,B C D,A G F E,F E F G D,,,
al-ḥiŷāz al-kabīr,C B A G,C B A G,F# G A,C E D,A G F# E- D,F E D,,,,,
al-raṣd,F# G A,A G E,C D E,E D C,C E D,,,,,,
raṣd al-ḏāyl,C D E,B- A G,A G F E,E D C,A G C,,,,,,
AL-HIJAZ AL-MASRIQUI,E F# G,C B A G,A G F# E- D,,,,,,,,
AL-SIKA,E D C,E F G,C D E,A G F E,F E D,E F D E,,,,,
‘irāq al-‘aŷam,A G B,G F# E D,F E D,E F# G,B A G,C D E,E D C,,,,
al-‘uššāq,E D G,B A G,F E D,C E D,C B A G,,,,,,
AL-DHAYL,E F G,F E D,C E D,E D C,G A B C,C B A G,,,,,
RAML AL-DHAYL,G A B,B A G,E D G,,,,,,,,
AL-HAMDAN,F G A,C E F,A G F E,F E D C,F E D C ,,,,,,
INQUILAB AL-RAMAL,F G A,C B A G,C B A G,F A G,E F G,A G F,C D E F,F E D,F E D C,F D E C D,
AL-ZAWRAKAND,E F# G,A G F# E- D,C F E D,C B A G,,,,,,,
AL-MASIQUI AL-SAGHIR,E F# G,A G F# E- D,C F E D,C B A G,,,,,,,
MOUJANNAB AL-DHAYL,D E F# G,A G F# E- D,D C B A G,,,,,,,,
AL-HISSAR,C B A G,A G F# E D,B A D,,,,,,,,
AL-ZAYADANE,F G A,C B A G,C B A G,E F G,A G F E,F E D,F D E C D,,,,
AL-MAZMOUM,A G F# E,C D E,C E D,E D C,,,,,,,
al-mašriquī,G A B,G A G,E D G,,,,,,,,
garībat al-ḥusayn,F G A,A G F# E D,C D F,F E D C,F E D C ,,,,,,
AL-GHARIBAT AL-MOUHARRARA,E F G,C D E,A G F E,E F G E,F E D C ,,,,,,
